"entidad","municipio","municipio_nombre","poblacion_total","hombres","mujeres"
"05","05001","ABASOLO",1015,511,504
"05","05002","ACUÑA",147809,73560,74249
"05","05003","ALLENDE",22654,11203,11451
"05","05004","ARTEAGA",23271,11726,11545
"05","05005","CANDELA",1720,903,817
"05","05006","CASTAÑOS",28068,13903,14165
"05","05007","CUATRO CIENEGAS",13546,6793,6753
"05","05008","ESCOBEDO",3077,1557,1520
"05","05009","FRANCISCO I. MADERO",58360,28863,29497
"05","05010","FRONTERA",80991,40477,40514
"05","05011","GENERAL CEPEDA",12471,6439,6032
"05","05012","GUERRERO",1697,891,806
"05","05013","HIDALGO",1565,813,752
"05","05014","JIMENEZ",10243,5154,5089
"05","05015","JUAREZ",1574,822,752
"05","05016","LAMADRID",1773,905,868
"05","05017","MATAMOROS",108950,54141,54809
"05","05018","MONCLOVA",231107,113720,117387
"05","05019","MORELOS",8599,4379,4220
"05","05020","MUZQUIZ",69102,34921,34181
"05","05021","NADADORES",6614,3286,3328
"05","05022","NAVA",30698,15613,15085
"05","05023","OCAMPO",11671,6040,5631
"05","05024","PARRAS",44799,22797,22002
"05","05025","PIEDRAS NEGRAS",163595,81575,82020
"05","05026","PROGRESO",3304,1714,1590
"05","05027","RAMOS ARIZPE",92828,47275,45553
"05","05028","SABINAS",63522,31856,31666
"05","05029","SACRAMENTO",2360,1178,1182
"05","05030","SALTILLO",807537,400370,407167
"05","05031","SAN BUENAVENTURA",23587,11683,11904
"05","05032","SAN JUAN DE SABINAS",43232,21026,22206
"05","05033","SAN PEDRO",106142,52285,53857
"05","05034","SIERRA MOJADA",6988,3584,3404
"05","05035","TORREON",679288,329932,349356
"05","05036","VIESCA",21549,10903,10646
"05","05037","VILLA UNION",6352,3253,3099
"05","05038","ZARAGOZA",13257,6561,6696
